artist_followers,artist_popularity,album_type,release_year,total_tracks_in_album,available_markets_count,track_number,disc_number,explicit,track_popularity,streams,release_month,release_day,release_day_of_week,is_sped_up,is_remix,is_instrumental,is_jersey,album_type_encoded,explicit_encoded,days_since_first_release,track_age_days
7937,41,single,2025,1,185,1,1,True,38,127317,3,7,4,0,1,0,0,0,1,1408,109
7937,41,single,2023,3,185,1,1,True,26,308914,3,16,3,1,0,0,0,0,1,686,831
7937,41,single,2023,3,185,2,1,True,16,2951075,3,16,3,0,0,0,0,0,1,686,831
7937,41,single,2023,3,185,3,1,False,4,8637,3,16,3,0,0,1,0,0,0,686,831
7937,41,single,2024,2,185,1,1,True,45,2149598,4,18,3,1,0,0,0,0,1,1085,432
7937,41,single,2024,2,185,2,1,True,43,1157082,4,18,3,0,0,0,0,0,1,1085,432
7937,41,single,2023,1,185,1,1,True,39,766818,10,12,3,0,0,0,0,0,1,896,621
7937,41,single,2025,2,185,1,1,False,41,66852,5,30,4,1,0,0,0,0,0,1492,25
7937,41,single,2025,2,185,2,1,False,41,65482,5,30,4,0,0,0,0,0,0,1492,25
7937,41,single,2021,1,185,1,1,True,22,56899,4,29,3,0,0,0,0,0,1,0,1517
7937,41,single,2023,3,185,1,1,True,4,8473,5,26,4,0,0,0,1,0,1,757,760
7937,41,single,2023,3,185,2,1,True,9,2951075,5,26,4,0,0,0,0,0,1,757,760
7937,41,single,2023,3,185,3,1,True,7,308914,5,26,4,1,0,0,0,0,1,757,760
7937,41,single,2022,1,185,1,1,True,25,81110,2,11,4,0,0,0,0,0,1,288,1229
7937,41,single,2024,2,185,1,1,True,51,1724835,11,22,4,0,0,0,0,0,1,1303,214
7937,41,single,2024,2,185,2,1,True,36,200204,11,22,4,1,0,0,0,0,1,1303,214
7937,41,single,2024,3,185,1,1,True,24,2149598,9,19,3,1,0,0,0,0,1,1239,278
7937,41,single,2024,3,185,2,1,True,12,1157082,9,19,3,0,0,0,0,0,1,1239,278
7937,41,single,2024,3,185,3,1,True,24,64730,9,19,3,0,0,0,1,0,1,1239,278
7937,41,single,2023,1,185,1,1,True,44,1724835,3,9,3,0,0,0,0,0,1,679,838
